group_name,path
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/0.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/1.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/2.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/3.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/4.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/5.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/6.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/7.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/8.jpg
Tennis shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_1/9.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/0.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/1.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/2.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/3.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/4.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/5.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/6.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/7.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/8.jpg
Running shoes on a rack with blurry effect,./data/pairedimagesets/VisDiff-blurred/medium/10_2/9.jpg
